date,cumul_total,cumul_shincheonji,cumul_low,d_tot,d_shin,d_low,daily_total,daily_shincheonji,daily_low
2/18/2020,1,1,0,1,1,0,1,1,0
2/19/2020,11,9,2,10,8,2,10,8,2
2/20/2020,34,26,8,23,17,6,23,17,6
2/21/2020,79,63,16,45,37,8,45,37,8
2/22/2020,149,129,20,70,66,4,70,66,4
2/23/2020,297,237,60,148,108,40,148,108,40
2/24/2020,442,376,66,145,139,6,145,139,6
2/25/2020,499,407,92,57,31,26,57,31,26
2/26/2020,677,501,176,178,94,84,178,94,84
2/27/2020,1017,682,336,340,181,160,340,181,160
2/28/2020,1314,962,352,297,281,17,297,281,17
2/29/2020,2055,1356,699,741,394,347,741,394,347
3/1/2020,2576,1870,706,514,521,-7,521,514,7
3/2/2020,3088,2152,936,512,282,230,512,282,230
3/3/2020,3608,2339,1269,520,187,333,520,187,333
3/4/2020,4013,2576,1437,405,237,168,405,237,168
3/5/2020,4443,2897,1546,321,430,-109,430,321,109
3/6/2020,4827,3264,1563,367,384,-17,384,367,17
3/7/2020,5217,3583,1634,390,319,71,390,319,71
3/8/2020,5514,3749,1765,297,166,131,297,166,131
3/9/2020,5704,3874,1830,190,125,65,190,125,65
3/10/2020,5796,3923,1873,92,49,43,92,49,43
3/11/2020,5927,3946,1981,131,23,108,131,23,108
3/12/2020,6000,3993,2007,73,47,26,73,47,26
3/13/2020,6121,4054,2067,61,121,-60,121,61,60
3/14/2020,6233,4116,2117,62,112,-50,112,62,50
3/15/2020,6274,4134,2140,41,18,23,41,18,23
3/16/2020,6327,4134,2193,35,-18,53,53,0,53
3/17/2020,6359,4138,2221,32,4,28,32,4,28
3/18/2020,6405,4138,2267,46,0,46,46,0,46
3/19/2020,6502,4143,2359,97,5,92,97,5,92
3/20/2020,6536,4144,2392,34,1,33,34,1,33
3/21/2020,6605,4144,2461,69,0,69,69,0,69
3/22/2020,6648,4156,2492,43,12,31,43,12,31
3/23/2020,6672,4158,2514,24,2,22,24,2,22
3/24/2020,6703,4158,2545,31,0,31,31,0,31
3/25/2020,6717,4162,2555,14,4,10,14,4,10
3/26/2020,6743,4166,2577,26,4,22,26,4,22
3/27/2020,6777,4166,2611,34,0,34,34,0,34
3/28/2020,6848,4175,2673,71,9,62,71,9,62
3/29/2020,6883,4198,2685,23,35,-12,35,23,12
3/30/2020,6915,4212,2703,14,32,-18,32,14,18
3/31/2020,6975,4213,2762,60,1,59,60,1,59
