X1,X2,X3,X4,X5,V6
116.015652428075,,135.903089008105,,,
33.0245453073897,51.6451315162587,36.5523794711927,,,
24.6820683895456,16.9537319867244,22.8698563410459,,,
17.8241623756794,4.09082810510078,14.8782069136424,,,
13.9926770305036,34.9723214781924,16.8311530687496,,,
9.53820140990466,2.08258530044058,7.8593157690915,,,
1.87501915186443,6.306372677868,2.43921307320759,23.523466874166,,24.7912154721708
3.81600166652831,15.3683185046379,5.71288204819159,12.8840757975837,15.0540923406795,13.3455084221287
5.78496305129734,15.2964285299587,8.09516168493342,9.68105442145436,11.6321107354469,10.2075919835364
6.57520351682409,1.48414032969756,4.71421609113164,7.65641218271039,8.99730449782375,7.96086899622384
6.55906299699768,16.6943313762767,9.14816093718527,6.39502874645013,10.8495334605442,7.30153373420605
6.0675935034243,1.09659888269722,4.14228536903952,5.50138881843411,6.76434510615086,5.7889497284265
2.71907391510356,5.22972289870233,3.36307405135689,4.57881214989547,7.39789501456902,5.14213763998774
1.92698786203364,5.69799483186641,2.95078812305219,4.59008105677481,7.30191645193166,5.2423251529106
2.09852882080858,2.48254230891857,2.23136065591251,4.28911100723778,5.60448179594676,4.67556273801075
2.38459757542591,1.79881519737452,2.16905834887258,3.7955344369345,3.99852830742675,3.86626113047846
